BIC_CODE,BIC_DESC
G425135,Millinery retailing
G425140,Protective clothing retailing
G425145,Womenswear retailing
G425150,Work clothing retailing
G425210,Footwear retailing
G425220,Shoe retailing
G425310,Jewellery retailing - except direct selling
G425320,Watch retailing
G425910,Handbag retailing
G425920,Leather good retailing - except apparel
G425923,Personal accessories retailing nec
G425927,Sunglass retailing
G425930,Travel good retailing
G425940,Wig retailing
G426010,Department store operation
G427110,Chemist shop operation - pharmacy
G427120,Cosmetic retailing
G427125,Health supplement retailing
G427130,Perfume retailing
G427140,Pharmacy operation - retail
G427150,Toiletry retailing
G427210,Artist supply retailing
G427220,Stationery retailing
G427310,Antique retailing
G427320,Coin dealing
G427330,Pawnbroking
G427340,Second hand book retailing
G427350,Second hand clothing retailing
G427360,Second hand furniture retailing or auctioning - except pawnbroking
G427370,"Second hand goods retailing - except motor vehicle, pawnbroking"
G427380,Second hand jewellery retailing - except pawnbroking
G427390,Stamp dealing - except pawnbroking
G427410,Dried flower retailing
G427420,Florist operation - retail
G427430,Flower retailing
G427903,Adult shop operation
G427907,Animal retailing - live
G427910,Art dealing
G427913,Art gallery operation - retail
G427917,Clock retailing
G427920,Coal retailing
G427923,Craft material and supply retailing
G427927,Discount store operation
G427930,Disposal store - new goods
G427933,Firewood cutting and retailing
G427935,"Electronic cigarette, vape and e-liquid retailing"
G427937,General store operation - other than mainly grocery
G427940,Gift shop nec
G427943,Greeting card retailing
G427947,Ice retailing
G427950,Musical instrument retailing
G427953,Pet shop
G427957,Religious good retailing (excluding religious books)
G427960,Retailing nec
G427962,Solid fuels retailing nec
G427963,Souvenir retailing
G427967,Spa pool and hot tub retailing
G427970,Swimming pool chemical retailing
G427973,Swimming pool retailing
G427977,Tobacco product retailing
G427980,Variety store operation
G431010,Book retailing - catalogue selling
G431020,"Direct selling - cosmetic, perfume and toiletry"
G431030,Direct selling - jewellery
G431040,Direct selling nec
G431060,Milk vendor - home delivery service
G431070,Network marketing nec
G431080,Telemarketing - excluding goods sales and handling
G431085,"Retailing, all products - excluding storage and handling of goods"
G431090,Vending machine operation (except leasing)
G432010,Commission selling service
G432020,Yacht broking
H440005,Backpacker accommodation
H440010,Boarding house
H440015,Caravan park and camping ground
H440020,Convention centre operation (mainly accommodation)
H440025,Guest house operation
H440030,Holiday house and flat operation
H440035,Hosted accommodation
H440040,Hotel operation
H440045,Motel operation
H440050,Motor inn operation
H440055,Private hotel - short term accommodation
H440060,Ski-lodge operation
H440065,Student residence operation - except boarding schools
H440070,Youth hostel operation
H451110,Cafe operation
H451120,Coffee shops
H451130,Restaurant operation
H451205,"Chicken, takeaway and retailing - cooked and ready to eat"
H451210,Cut lunch retailing
H451215,Ethnic food takeaways
H451220,Fast food retailing
H451225,Fish and chip retailing - takeaway
H451230,Hamburger retailing
H451235,Ice cream retailing
H451240,Pizza takeaway - retailing
H451250,Soft drink retailing
H451260,Takeaway food retailing
H451270,Mobile coffee van
H451310,Airline catering service
H451320,Catering service
H452010,Bar - licensed
H452020,Hotel operation - mainly drinking place
H452030,Nightclub operation
H452040,Pub operation - mainly drinking place
H452050,Tavern operation - mainly drinking place
H452060,Wine bar operation - mainly drinking place
H453010,Club - hospitality
H453020,Club - licensed
H453030,Licenced club operation
I461010,Delivery service - road
I461020,Furniture removal service - road
I461030,Log haulage service - road
I461040,Road freight transport service
I461050,Taxi truck service
I461060,Towing service - motor vehicle
I461070,Truck hire service - with driver
I462110,"Bus, coach transport - long distance"
I462120,Charter bus service - long distance
I462130,Rural bus service
I462210,Airport bus service
I462220,"Bus, coach transport - short distance"
I462230,Charter bus service - short distance
I462240,School bus service
I462250,Tramway passenger transport service
I462310,Hire car service - with driver
I462320,Road passenger transport nec
I462330,Taxi cab service
I462340,Taxi organisation (excluding those that provide taxi services)
I471010,Freight transport service - railway
I472010,Monorail operation
I472020,Passenger transport service - railway
I481010,"Freight transport service - river, harbour or lake"
I481020,Inland water transport (except passenger only)
I481030,Water transport (vessels 45 metres length and under or 500 tonnes displacement and under)
I481040,Water transport (vessels over 45 metres length and 500 tonnes displacement)
I481050,"Ship charter, lease or rental (vessels over 45 metres length and 500 tonnes displacement - with crew)"
I481060,"Ship charter, lease or rental (vessels under 45 metres length or 500 tonnes displacement - with crew)"
I481070,Ship management service (vessels over 45 metres length and 500 tonnes displacement)
I481080,Ship management service (vessels under 45 metres length or 500 tonnes displacement)
I482010,Ferry operation (vessels over 45 metres length and 500 tonnes displacement)
I482020,Ferry operation (vessels under 45 metres length or 500 tonnes displacement)
I482030,Inland water transport (passenger only)
I482040,Ocean cruise service
I482050,"Passenger ferry operation - river, harbour or lake"
I482060,Vehicular ferry or punt operation - in inland waters
I482070,Water taxi service
I490002,"Air operations under CAA Rules parts 101, 103 and 104"
I490004,Air operations under CAA Rules part 133
I490006,Air operations under CAA Rules part 135
I490008,"Air transport under CAA Rules part 121, 125, or 129"
I490010,"Aircraft charter, lease or rental - with crew"
I490020,Airline operation - scheduled domestic
I490030,Airline operation - scheduled international
I490040,Freight transport service - non scheduled air transport
I490050,Freight transport service - scheduled domestic air transport
I490060,Freight transport service - scheduled international air transport
I501001,Boat hiring (with crew)
I501005,Cable car operation
I501010,Chair lift operation
I501013,Charter fishing boat operation
I501015,"Cruise operation - river, harbour or lake, with or without restaurant facilities"
I501017,Hang glider operation
I501020,Four wheel drive tour operation - with driver
I501023,Harbour sightseeing tour operation
I501025,Game fishing tours
I501030,Helicopter charter
I501035,Hot air ballooning operation
I501040,Motor cycle tour operation - with driver
I501043,Parachuting and sky-diving operations
I501045,Railway operation - by historical railway societies or as a tourist attraction
I501050,Whale watching tour
I501055,Air operations under CAA Rules part 115
I501060,Scenic and sightseeing transport (excluding aviation)
I502110,Pipeline operation
I502910,Ski lift operation
I502920,Ski tow operation
I502930,Transport operation nec
I510105,Letterbox delivery services - addressed mail
I510108,Letterbox delivery services - advertising material
I510110,Mail network operation
I510120,Mailbox rental service
I510130,Newspaper home delivery
I510140,Post office operation
I510145,Postshop operation
I510150,Retail postal service
I510210,Courier service
I510213,Grocery home delivery service
I510220,Messenger service
I510230,Pick-up and delivery service nec
I510235,Rural post pick-up and delivery service
I510240,Letterbox delivery services (non-postal)
I521110,Ship loading or unloading service
I521120,Stevedoring
I521205,Coal loader operation - sea transport
I521210,Container terminal operation - marine cargo
I521215,Freight terminal operation - sea transport
I521220,Grain loader operation - sea transport
I521225,Harbour service nec
I521230,Marina operation
I521235,Passenger terminal operation - sea transport
I521240,Port operator
I521245,Ship mooring service
I521250,Wharf facility leasing
I521255,Wharf provision
I521910,"Diver - commercial, salvage"
I521920,Navigation service - water transport
I521930,Pilotage service
I521940,Port service nec
I521950,Salvage service - marine
I521960,Service to water transport nec
I521970,Towboat operation
I521980,Shipping agency service including goods handling
I522010,Air traffic control system operation
I522020,Airport operation
I522030,Airport service
I529110,Customs agency or broker service (no goods handling)
I529111,Customs agency or broker service including goods handling
I529120,Export documentation preparation service (no goods handling)
I529121,Export documentation preparation service including goods handling
I529130,Import documentation preparation service (no goods handling)
I529131,Import documentation preparation service including goods handling
I529140,Shipping agency service (excluding handling of goods)
I529210,Freight forwarding including goods handling - air
I529211,Freight forwarding (no goods handling) - air
I529220,Freight forwarding including goods handling - except by road or air
I529221,Freight forwarding (no goods handling) - except by road or air
I529230,Freight forwarding including goods handling - road
I529231,Freight forwarding (no goods handling) - road
I529240,Freight forwarding including goods handling nec
I529241,Freight forwarding (no goods handling) nec
I529910,Chauffeur service
I529920,Container terminal or park facilities - for road freight
I529930,Freight brokerage service (no goods handling)
I529931,Freight brokerage service including goods handling
I529940,Railway station operation
I529950,Service to transport nec
I529960,Services to road transport nec
I529970,Toll bridge operation
I529980,Toll road operation
I529985,Transport and delivery vehicle scheduling service
I529990,Weighbridge operation
I530110,Grain elevator operation
I530120,Grain silo operation
I530130,Grain storage
I530910,Bond store operation
I530920,Cold store operation
I530930,Controlled atmosphere store operation
I530940,Cool storage of fruit and vegetables
I530950,Furniture storage service
I530960,Storage service nec
I530970,Warehousing nec
J541110,Newspaper publishing (except internet)
J541120,Community newspaper publishing (except internet)
J541205,Magazine publishing (except internet)
J541207,Journal (including trade journal) publishing (except internet)
J541210,Periodical publishing (except internet)
J541220,Newsletter publishing (except internet)
J541310,Book and other publishing (except internet)
J541320,Technical manual publishing (except internet)
J541410,Directory and mailing list publishing (except internet)
J541910,Publishing nec
J542005,Development of computer software for mass production
J542010,Computer software publishing
J551110,Film and video production
J551120,Motion picture film or tape production
J551130,Television film or tape production
J551140,Video filming for commercial usage
J551210,Film and video distribution
J551220,Rental of film
J551230,Video tape leasing - excluding hire to the public by video hire outlets
J551310,Cinema operation
J551320,Drive-in theatre operation
J551403,Digital visual effects services
J551404,Film and video production - digital special effects
J551405,Film or video post-production services
J551407,Motion picture and video activities nec
J551410,Motion picture or video editing service
J552110,Music publishing
J552210,Sound recording studio operation
J552220,Audio service (including sound engineering)
J561010,Radio service
J561020,Radio station operation
J562110,Free-to-air television service
J562120,Television station operation (free-to-air)
J562205,Cable broadcasting network operation
J562210,Pay TV operation
J562220,Subscription television broadcasting service
J570005,Internet news website operation (excluding web search portal)
J570010,Internet publishing and broadcasting
J570015,Digital content creation - own account
J580110,"Communication service (wired) - including telephone, telex service"
J580210,"Communication service (wireless) - including telephone service, except radio and TV broadcasting"
J580220,Television relay station operation
J580910,Telecommunications services nec
J591010,Internet cafe (mainly internet service operation)
J591020,Internet service provider
J592105,Application hosting
J592110,Computer time sharing service
J592115,Cryptocurrency mining or blockchain services
J592120,Data entry service
J592130,Data processing service
J592135,GPS data recording and analysis service
J592140,Microfiche production service
J592150,Web hosting
J592205,Digital wallet service provider
J592210,Information storage and retrieval service - except library
J601010,Archival service
J601020,Film archive service
J601030,Library service
J601040,Photographic archive service
J601050,Sound archive service
J602010,News collection for radio broadcasting
J602020,News collection for television broadcasting
J602030,News collection service nec
J602040,Telephone-based recorded information service
K621010,Central bank operation
K621020,Financial regulatory service
K622110,Bank operation
K622120,Trading bank operation
K622210,Building society
K622220,Permanent building society operation
K622310,Credit union
K622905,Merchant banking operation
K622910,Money market dealing
K623010,Finance company operation
K623020,Financing nec
K623030,Non-depository financing
K624010,Financial asset investing
K624020,Friendly society operation
K624030,Holding company operation - passive investment in subsidiary companies
K624040,Investment - financial assets
K624050,Investment company operation
K624060,Investment operation - own account
K624070,"Unit trust operation (investment type, in predominantly financial assets)"
K631010,Life insurance provision
K632110,Dental insurance provision
K632120,Funeral benefit provision
K632130,Health insurance
K632210,Accident insurance provision
K632220,Fire insurance provision
K632230,General insurance
K632240,Household insurance
K632250,"Insurance - accident, house, marine and general"
K632260,Motor vehicle insurance
K632270,Third party insurance
K632280,Travel insurance provision
K632290,Workers' compensation insurance
K633010,Pension fund separately constituted - operation
K633020,Superannuation fund operation - separately constituted
K641105,Asset trading of mortgages
K641110,Commodity futures broking or dealing
K641120,Financial asset broking service
K641130,Stockbroking or trading
K641905,Credit card administration service
K641910,Executor service
K641915,Financial service nec
K641920,Fund raising nec - on a commission or fee basis
K641925,Money changing service (non-bank)
K641930,Mortgage broking service
K641935,Nominee service
K641940,Portfolio investment management service
K641945,Service to finance and investment nec
K641950,Share registry operation
K641955,Superannuation fund management service - on a fee or commission basis
K641960,Terminating building society operation
K641965,Trustee service
K641970,Valuation service - securities
K642010,Actuarial service
K642020,Claim assessment service
K642030,Insurance agency service
K642040,Insurance broking service
K642050,Insurance consultant service
K642060,Service to insurance nec
L661110,"Car leasing, hiring or renting - except licensed hire cars or taxi cabs"
L661120,Rental of motor vehicles
L661905,Aircraft leasing
L661910,"Bus, coach leasing"
L661915,"Campervan leasing, hiring or renting"
L661920,Caravan hiring
L661925,Container hiring
L661930,Horse trailer hiring
L661935,Other transport equipment leasing
L661940,"Rental of auxiliary transport equipment such as trailers, caravans"
L661945,Rental of boats and yachts
L661950,Ship leasing
L661955,Trailer hiring
L661960,"Truck leasing, hiring or renting"
L662065,Farm animal investment (not actively farming)
L662070,Holder investor farms and farm animals
L662075,Investment - farm animals
L662080,Racehorse leasing
L662085,Sharemilking (non-milking participant)
L663110,Agricultural machinery leasing
L663120,Construction machinery leasing
L663130,Crane hiring or leasing (without operator)
L663210,"Rental of video tape, DVD or games"
L663220,"Video tape, DVD and game hiring to general public"
L663903,Amusement machine hiring - including peripherals
L663907,Bicycle hiring
L663910,Camping equipment hiring
L663913,Costume hiring
L663917,Domestic appliance hiring
L663920,Fishing tackle hiring
L663922,"Function equipment renting, leasing or hiring"
L663923,Furniture hiring
L663925,Goods and equipment rental and hiring nec
L663927,Hobby equipment hiring
L663930,Household goods hiring
L663933,Marquee and tent hiring
L663937,Office machinery or equipment hiring
L663940,Personal and household goods hiring nec
L663943,Photographic equipment hiring
L663947,Plant and equipment hiring or leasing without operator (excluding office machinery or equipment)
L663950,Plant hiring and tending (of ornamental plants)
L663953,Rental of personal and household goods
L663957,Rental of theatrical equipment
L663960,Ski equipment hire
L663963,Sound reproducing equipment - household - hiring
L663967,Sporting equipment hiring
L663970,Television hiring
L663973,Toy library (non-welfare service)
L664010,Investment - non financial assets nec
L664020,Investment - patents and copyrights
L664030,Investment - tangible artistic work
L664040,Leasing licences
L664050,Non-financial asset investment
L664060,Taxi cab plate leasing
L664070,Copyright material leasing by franchisors
L664072,Cryptocurrency investing - own account
L664075,Franchisors nec
L671110,Apartment renting or leasing - except holiday apartment
L671120,"Building, residential - renting or leasing - other than holiday"
L671130,Flat renting or leasing - except holiday flat
L671140,House renting or leasing - except holiday house
L671150,Investment - residential property
L671160,Rental of residential property
L671170,Residential property body corporate
L671180,Residential property development (excluding construction)
L671205,Building contractor - all construction sub-contracted
L671210,"Building, non-residential - renting or leasing"
L671220,Commercial property body corporates
L671230,Investment - commercial property
L671233,Non-residential property operation nec
L671237,Non-residential property development (excluding construction)
L671240,Property - non-residential - renting or leasing
L671250,Rental of commercial property
L671260,Shopping mall operation
L672010,Real estate agency service
L672020,Real estate auctioning service
L672030,Real estate body corporate management service
L672040,Real estate broking service
L672050,Real estate management service
L672060,Real estate rental agency service
L672070,Time share apartment management service
L672080,Valuing service - real estate
M691005,Agricultural research activities
M691010,Engineering research activities
M691015,Food research institution operation - except university
M691020,Industrial research institution operation - except university
M691025,Medical research institution operation - except university
M691030,Medical science research activities
M691035,"Natural science - astronomy, chemistry, mathematics, physics, earth sciences research activities"
M691040,Observatory operation - except university
M691045,Scientific research institution operation - except university
M691050,"Social science - economics, psychology, sociology research activities"
M691055,Technology research activities
M692110,Architect
M692120,Architectural service
M692130,Drafting service - architectural
M692140,Landscape architecture service
M692150,Town planning service
M692210,Aerial photography service
M692220,Aerial surveying service
M692230,Engineering surveying service
M692240,Land surveying service
M692250,Map preparation service
M692260,Mining surveying service
M692270,Oceanographic surveying service
M692280,Seismic surveying service
M692290,Surveying service
M692305,Boat designing service
M692310,Building consultancy service
M692315,Chemical engineering service
M692320,Civil engineering consulting service
M692325,Construction project management service - fee or contract basis
M692330,Drawing office service - engineering
M692335,Electrical engineering service - consulting
M692340,Electronic engineering service - consulting
M692343,Engineering consulting service nec
M692345,Engineering drafting service
M692347,Irrigation system design service
M692350,Marine engineering service - consulting
M692355,Mining engineering service
M692360,Naval architecture service
M692365,Product design service
M692370,Quantity surveying service
M692375,Traffic engineering service
M692410,Calligraphy service
M692420,Commercial art service
M692430,Computer aided design nec
M692435,Design services nec
M692440,Fashion design service
M692450,Graphic design service - for advertising
M692460,Interior design or decorating consultancy service
M692470,Signwriting
M692480,Ticket writing
M692505,Chemical analysis service nec
M692510,Forensic science consulting service - other than pathology service
M692515,Geological and geophysical consultancy service
M692520,Inspecting (field) and advisory service (excluding meat inspection)
M692525,Laboratory operation
M692530,Metallurgical service
M692535,Pollution monitoring service
M692540,Scientific or technical service nec
M692545,Seismic survey data analysis service
M692550,Testing or assay service
M692555,Wool testing service
M693105,Advocate
M693110,Barrister
M693115,Conveyancing service - by qualified legal practitioner
M693120,Conveyancing service - other than by qualified legal practitioner
M693125,Legal aid service
M693130,Legal service
M693135,Notary
M693140,Patent attorney
M693145,Solicitor
M693150,Title searching service
M693210,Accountant
M693220,Accounting service
M693230,Auditing service
M693240,Bookkeeping service
M693250,Tax agent
M694010,Advertising agency operation
M694020,Advertising service
M694030,Direct marketing service - advertising direct mail
M694040,Internet advertising service
M694045,Loyalty card administration service
M694050,Power tool demonstration
M694060,Sample distribution service
M695010,Market research service
M695020,Public opinion research service
M696110,Corporate head office management services
M696205,Business consultant service
M696210,Business management service nec
M696215,Entertainer/celebrity management service
M696220,Environmental consultancy service - excluding laboratory service
M696225,Fishing technical consultancy service
M696230,Forestry and logging - management and consulting services
M696235,Forestry ownership or management (excluding field operations)
M696240,Human relations consultancy service
M696245,Management consultancy service
M696250,Management training service
M696252,Marketing consultancy service
M696255,Merchandising consultancy service
M696260,Workplace health and safety consultancy service
M696265,Operations research service
M696270,Personnel management service
M696272,Policy or business analyst
M696275,Public affairs consultant service
M696280,Public relations counselling service
M696285,Sales advisory service
M696290,Tariff consultancy service
M696295,Tourism development consultancy service
M696296,Management service to local government and other statutory bodies
M696297,Management services nec
M697010,Animal clinic or hospital operation
M697020,Veterinary hospital
M697030,Veterinary surgeon
M699110,Commercial photography service
M699120,"Photography service - except aerial photography, motion picture production or photographic film processing"
M699130,Portrait photography service
M699140,Street photography service
M699150,Studio photography service
M699160,"Video filming for private use including special events (birthdays, weddings etc)"
M699905,"Cryptocurrency trading, brokering or exchange"
M699910,Interpreting service
M699912,Adjudication service (excluding court operation)
M699915,Alternative dispute resolution service
M699917,Arbitration service (excluding court operation)
M699920,Mediation service - except court or personal relationship
M699925,Restorative justice mediation service
M699930,Meteorological service
M699940,Migration consulting and service
M699945,"Professional, scientific and technical services nec"
M699950,Translation service
M699960,Valuation service - except for real estate or securities
M699970,Weather station operation
M699975,Wool stocktaking service
M700010,Computer consultancy service
M700020,Computer programming service
M700030,Internet consultancy service
M700040,Internet website design service
M700050,Development of customised computer software nec
M700060,Systems analysis service
N721110,Casting agency service
N721120,Employment agency operation (no on hired staff)
N721130,Employment placement service (candidates and contractors)
N721140,Executive search service
N721150,Model agency
N721160,Outplacement service
N721210,Employment services (on-hired staff - both office and non-office work - minimum 30% office work)
N721220,Employment services (on-hired staff - non-office work - including up to 30% office work)
N721230,Employment services (on-hired staff - office workers only)
N721240,Nursing bureau
N721245,"On-hired staff - nursing, medical, or dental"
N721250,Temporary labour - non-office work - including up to 30% office work
N721260,Temporary staff - office workers only
N721270,Labour supply - hospitality workers
N722010,Booking service (passenger transport and/or accommodation)
N722020,Guide service operation nec
N722030,Ticket selling - for non-resident airlines
N722035,Tour arranging and assembling
N722040,Tour guide service
N722050,Tour retailing service
N722060,Travel agency service
N729110,Business administrative service
N729115,Payroll processing service
N729120,Secretarial service
N729210,Desktop publishing service
N729215,Document preparation services nec
N729220,Typing service
N729230,Word processing service
N729310,Collection agency service
N729320,Credit bureau or agency service
N729410,Call centre operation
N729420,Telephone answering service
N729905,Administrative service nec
N729910,Ticketing service nec
N729920,Event booking agent
N729930,"Event, recreational or promotional, management"
N729935,In-store retail support services
N729940,Meter reading service - electricity
N729945,In-store demonstration service
N729950,Meter reading service - gas
N729955,Merchandising service
N729960,Product display assembly
N729970,Shelf restocking
N729980,Theatre ticket agency operation
N729990,Tourist information centre operation
N731105,Chimney cleaning service
N731110,Cleaning service
N731115,Facilities management and cleaning service - contract nec
N731120,House cleaning service
N731123,Industrial cleaning service
N731125,Office cleaning service
N731130,Restaurant vat and cooker cleaning service
N731135,Road sweeping - cleaning service
N731140,Street sweeping - cleaning service
N731145,Telephone cleaning service
N731150,Window cleaning service
N731210,Pest control service nec
N731220,Weed control service
N731310,Arboricultural service (tree doctor)
N731320,Gardening service
N731330,Lawn mowing service
N731340,Property maintenance service (own account) nec
N731350,Roadside and nature strip grass mowing/slashing service
N731360,Turf management service
N732010,Contract packing of groceries
N732020,"Contract packing or filling - except fresh fruit, fresh vegetables, meat, poultry, fish or peat"
N732030,Crating or packing service - for transport
N732040,Wool dumping
O751010,Central government administration
O751020,"Central government, including crown entities and commission - operation nec"
O751030,Crown entities and commissions operation nec
O751040,Statutory review authority
O753010,Local government administration nec
O753020,Regulation enactment and enforcement (local government)
O754010,Commission operation - judicial
O754020,Court operation - judicial
O754030,Tribunal operation
O755210,Consulate operation - foreign government
O755220,Embassy operation - foreign government
O755230,High Commission operation
O755240,Trade Commission operation - foreign government
O760010,Defence force operation and administration
O771110,Police service - government
O771120,Security or intelligence organisation operation (government)
O771205,Alarm system monitoring service
O771210,Armoured car service
O771215,Caretaking service
O771220,Detective agency service
O771225,Enquiry agency service
O771230,Locksmith servicing
O771235,Night watchman service
O771240,Protection service
O771245,Security service
O771250,Surveillance system monitoring service
O771310,Bush fire brigade service
O771320,Civil defence operation
O771330,Emergency service - other than defence and police
O771340,Fire fighting service - except forest
O771350,Fire fighting service - forest
O771360,Fire prevention service
O771410,Corrective centre
O771420,Juvenile detention centre operation
O771430,Periodic detention centre operation
O771440,Prison operation
O771450,Remand centre operation
O771910,"Border surveillance (land, sea, or air)"
O771920,Public order and safety services nec
O771930,Traffic management or control services - except police
O772003,Food inspection service
O772007,Licensing and permit issuance
O772010,Meat inspection services
O772012,Regulating casino and other gambling
O772013,Regulating food and agricultural standards
O772017,Regulating qualification standards
O772020,Vehicle testing station operation
O772030,Weights and measures regulation
P801010,"Kindergarten, pre-school operation - except child minding centre"
P801020,Pre-school centre operation - except child minding centre
P802105,Intermediate school operation
P802110,Primary school operation
P802120,School - primary school
P802210,"School, high school - secondary"
P802220,Secondary school or college operation
P802310,Correspondence school operation nec
P802320,School - combined primary and secondary
P802410,Special school education
P802420,"Special school operation (for disabled children, not providing normal primary or secondary school education)"
P810110,Business college operation
P810120,Modelling school
P810130,Nursing college operation nec
P810140,Polytechnic operation
P810150,Tertiary institutional education - except polytechnics and universities
P810160,Theological college or seminary operation
P810170,Workplace training
P810180,Apprenticeship coordinators employing apprentices
P810210,Teachers college operation nec
P810220,University operation
P821103,Diving school operation
P821106,Group health and fitness trainer
P821107,Riding school operation
P821109,Sports and physical recreation instruction nec
P821110,"Sports coaching service - boating, yachting"
P821113,Sports coaching service - cricket
P821117,Sports coaching service - rugby
P821120,Sports coaching service - rugby league
P821123,Sports coaching service - community sport nec
P821127,Sports coaching service - cycling
P821130,Sports coaching service - golf
P821133,Sports coaching service - horse riding
P821137,Sports coaching service - motorcycling
P821140,Sports coaching service - motor racing
P821143,Sports coaching service - netball
P821147,Sports coaching service - professional sport nec
P821150,Sports coaching service - skiing (snow)
P821153,"Sports coaching service - softball, baseball"
P821157,"Sports coaching service - squash, badminton"
P821160,Sports coaching service - swimming
P821163,Sports coaching service - tennis
P821167,Sports coaching service - water skiing
P821170,Outdoor education nec
P821175,Yoga instruction service
P821210,Art school operation
P821215,Arts education nec
P821220,Sculpture instruction service
P821225,Dance (including ballet) teaching
P821230,Drama school operation
P821240,Music school operation nec
P821250,Music teaching
P821905,"Adult, community, and other education nec"
P821910,Driving school operation - motor vehicle
P821920,Flying school
P821925,Home economics and personal management instruction
P821930,Tutoring service - academic
P821940,Social and interpersonal skill training
P821950,"Study skill, career development and job search training"
P822010,"Curriculum development, educational"
P822020,Educational support services nec
P822030,"Test and exam development and evaluation, educational"
P822040,"Test and exam service, educational (including marking)"
Q840110,Geriatric hospital operation
Q840120,Hospitals (excluding psychiatric and continuing geriatric care)
Q840130,Surgical hospital - day surgery
Q840210,Psychiatric hospital and psychiatric service nec
Q851110,Clinic - medical - general practice
Q851120,General practitioner - medical
Q851205,Allergist
Q851210,Anaesthetist
Q851215,Consultant physician
Q851220,Dermatologist
Q851225,Gynaecologist
Q851230,"Medical service, specialist nec"
Q851235,Neurologist
Q851240,Obstetrician
Q851245,Ophthalmologist
Q851250,Orthopaedic specialist
Q851255,Otorhinolaryngologist
Q851260,Paediatrician
Q851265,Plastic surgeon
Q851270,Psychiatrist
Q851275,Rheumatologist
Q851280,Specialist medical practitioner nec
Q851285,Surgeon nec - medical
Q851290,Thoracic specialist
Q851295,Urologist
Q852005,Diagnostic imaging service
Q852010,Medical laboratory service
Q852020,Pathologist
Q852030,Pathology laboratory operation
Q852040,Radiographer
Q852050,Radiologist
Q852060,Radiology service
Q852070,X-ray clinic operation
Q853110,Clinic - dental
Q853120,Dental hospital operation
Q853130,Dental surgeon
Q853140,Endodontist
Q853150,Oral pathologist
Q853160,Orthodontist
Q853170,Paedodontist
Q853180,Periodontist
Q853190,Prosthodontist
Q853210,Contact lens dispensing
Q853220,Eye examination - optometrist
Q853230,Optical dispensing
Q853240,Optometrist
Q853250,Orthoptist
Q853260,Spectacle dispensing
Q853310,Physiotherapy service
Q853410,Chiropractor service
Q853420,Osteopath service
Q853905,Acupuncture service
Q853906,Allied health service nec
Q853907,Audiology service
Q853910,Chiropodist
Q853915,Clinical massage service
Q853920,Clinical psychology service
Q853925,Dietitian
Q853930,Hearing aid dispensing
Q853935,Herbalist
Q853940,Homoeopath
Q853945,Hypnotherapist
Q853950,Massage therapy service
Q853955,Midwifery service
Q853957,Naturopathic service
Q853960,"Nursing care (in patient's home, predominantly medical)"
Q853965,Nursing service
Q853967,Nurse practitioner service
Q853970,Occupational therapy service
Q853975,Paramedical service
Q853980,Podiatry service
Q853985,Psychologist
Q853990,Speech therapy service
Q859110,Aerial ambulance service
Q859120,Ambulance service
Q859910,Blood bank operation
Q859920,Community health centre operation
Q859930,Drug referral centre operation
Q859940,Health service nec
Q859950,Porter service (hospital)
Q860110,Aged care
Q860120,Nursing home operation
Q860130,Rest home operation
Q860140,Retirement village operation - with rest home or hospital facilities
Q860910,Children's home operation
Q860920,Crisis care accommodation operation
Q860930,Crisis care accommodation operation (excluding psychiatric)
Q860940,Hospice operation
Q860950,Residential care service nec
Q860960,Residential refuge operation
Q871010,Child care service
Q871020,Child minding centre
Q879005,Adoption service
Q879007,Family and personal dispute resolution service (excluding court operation)
Q879010,Adult day care centre operation
Q879015,Alcohol counselling service
Q879020,Community and non-residential care service nec
Q879025,Counselling service nec
Q879030,Drug rehabilitation counselling service
Q879035,Emergency housekeeping service
Q879040,Emergency relief agency nec
Q879043,Family welfare service nec
Q879045,"Homecare service, personal (excluding nursing)"
Q879050,Homeless welfare assistance - except accommodation
Q879055,Marriage guidance service
Q879060,Meals on wheels service
Q879065,Parole or probationary service
Q879070,Retirement village operation - without rest home or hospital facilities
Q879073,Social assistance or welfare services nec
Q879075,Welfare counselling service
Q879080,Youth welfare service nec
R891010,Art museum operation
R891020,Historic house operation
R891030,Museum operation
R892110,Animal park
R892120,Aquarium operation
R892130,Aviary operation
R892140,Zoological garden operation
R892210,National park operation
R892215,Nature reserve and conservation park operation nec
R892220,Park and garden operation
R892230,Picnic ground operation
R892240,Recreation ground operation - except sporting
R892250,Tourist cave operation
R892260,Wild-life sanctuary operation
R900110,Ballet company operation
R900120,Circus operation
R900130,Musical group operation
R900140,Opera company operation
R900150,Orchestra operation
R900160,Performing artist operation
R900165,Performing arts operation nec
R900170,Theatrical company operation
R900203,Actor
R900207,Artist
R900210,Author
R900213,Cartoon character design
R900217,Cartoonist
R900220,Composer - music
R900223,Costume design service
R900227,Creative art
R900230,Creative writer - own account
R900233,Entertainer
R900235,Journalist
R900236,Model (including fashion model)
R900237,Musician
R900240,Painter - artist
R900243,Playwright
R900247,Poet
R900248,Radio or television presenter
R900250,Sculptor
R900253,Service to the arts nec
R900257,Set designing service
R900260,Song writer
R900263,Theatre lighting service
R900267,Writer
R900310,Concert hall operation
R900320,Entertainment centre operation
R900330,Music hall operation - excluding theatre restaurant operation
R900340,Opera house operation
R900350,Performing art venues
R900360,Playhouse operation
R900370,Theatre operation - except motion picture theatre
R911110,Fitness centre
